n;Bubble Sort;Merge Sort;Busca Sequencial;Busca Binaria
508;1637205;155511;601;50
509;1671739;156232;601;140
510;1765846;156713;631;60
511;1721433;157495;601;160
512;1724028;157165;601;50
513;1708789;166091;621;141
514;1687038;158887;611;50
515;1771617;159188;631;160
516;1747742;158677;631;50
517;1717686;160681;621;131
518;1726512;160059;621;50
519;1763271;160450;641;140
520;1833743;160401;672;70
521;1695454;161473;622;140
522;1726792;160360;611;40
523;1747161;162674;632;140
524;1774192;161623;611;60
525;1848441;162264;651;151
526;1748563;161853;621;60
527;1762299;163236;611;120
528;1817413;179105;641;60
529;1820829;165570;621;150
530;1888005;164137;652;50
531;1796053;165540;621;150
532;1796794;165249;641;61
533;1824245;165810;632;140
534;1807143;166531;631;60
535;1941935;168315;671;181
536;1823213;167674;662;60
537;1878587;167503;642;120
538;1882444;168706;641;50
539;1888716;169457;642;160
540;1911549;170049;641;61
541;1935483;171701;681;180
542;1863639;171912;642;40
543;1866685;169107;651;160
544;1936726;169117;641;50
545;1980277;169637;652;130
546;1931807;170389;661;40
547;1928461;170689;641;161
548;1953958;172443;651;41
549;1962394;171641;651;120
550;1907791;173785;662;30
551;2034539;175769;681;160
552;1990747;174376;682;60
553;1999344;174006;671;180
554;1913643;174066;662;60
555;2027846;172653;671;161
556;1983955;173986;672;60
557;2006837;176400;672;110
558;1992701;174557;671;50
559;2062682;186199;681;161
560;1972533;177893;672;40
561;2115882;180298;691;181
562;2052343;177372;681;40
563;2074624;177121;671;181
564;2043125;176701;671;50
565;2096055;188804;701;171
566;2107586;178514;691;50
567;2122454;179286;681;141
568;2140688;178424;691;71
569;2089112;179436;692;130
570;2093940;178724;662;50
571;2161977;224140;1252;250
572;2265342;181991;712;50
573;2102707;179425;701;161
574;2126652;179887;702;60
575;2105091;178704;672;130
576;2140568;179556;691;50
577;2074795;180538;691;151
578;2511752;182171;731;60
579;2173599;194565;732;181
580;2220738;223368;702;70
581;2133805;200195;712;180
582;2156777;182381;701;60
583;2144806;183203;691;150
584;2207192;183223;702;60
585;2493618;189455;732;201
586;2188215;183092;692;50
587;2197434;183364;712;150
588;2246396;186078;752;50
589;2350881;186760;711;180
590;2285699;184315;682;70
591;2645673;187992;762;180
592;2276062;187191;691;50
593;2225637;186008;702;150
594;2274208;203711;1262;90
595;2333028;189595;731;170
596;2308852;187852;691;61
597;2280299;190767;711;170
598;2692591;192601;771;60
599;2266884;211245;711;191
600;2342486;188814;712;60
601;2329020;189735;701;150
602;2421794;193723;771;81
603;2364597;190036;721;150
604;2581543;207659;751;70
605;2324491;198071;742;171
606;2482938;195647;851;50
